month,task_type,pr_count,merge_rate
2021-07,bug,2,50.0
2021-07,feature,3,66.66666666666666
2021-07,other,8,75.0
2021-08,bug,11,63.63636363636363
2021-08,documentation,2,100.0
2021-08,feature,3,66.66666666666666
2021-08,other,7,14.285714285714285
2021-09,bug,12,83.33333333333334
2021-09,documentation,2,100.0
2021-09,feature,7,85.71428571428571
2021-09,other,1,0.0
2021-10,bug,18,38.88888888888889
2021-10,documentation,3,33.33333333333333
2021-10,feature,5,60.0
2021-10,other,8,37.5
2021-11,bug,11,54.54545454545454
2021-11,documentation,2,50.0
2021-11,other,5,80.0
2021-12,bug,9,66.66666666666666
2021-12,documentation,3,33.33333333333333
2021-12,feature,4,50.0
2021-12,other,9,44.44444444444444
2022-01,bug,8,37.5
2022-01,documentation,1,0.0
2022-01,feature,3,66.66666666666666
2022-01,other,7,71.42857142857143
2022-02,bug,3,100.0
2022-02,documentation,1,100.0
2022-02,feature,3,0.0
2022-02,other,7,100.0
2022-03,bug,8,100.0
2022-03,documentation,2,100.0
2022-03,feature,4,50.0
2022-03,other,12,58.333333333333336
2022-04,bug,11,81.81818181818183
2022-04,documentation,1,100.0
2022-04,feature,5,40.0
2022-04,other,10,50.0
2022-05,bug,9,44.44444444444444
2022-05,documentation,1,100.0
2022-05,feature,1,100.0
2022-05,other,12,58.333333333333336
2022-06,bug,5,100.0
2022-06,documentation,1,100.0
2022-06,feature,3,0.0
2022-06,other,12,58.333333333333336
2022-07,bug,6,83.33333333333334
2022-07,documentation,1,0.0
2022-07,feature,3,33.33333333333333
2022-07,other,10,80.0
2022-08,bug,10,90.0
2022-08,feature,3,100.0
2022-08,other,12,66.66666666666666
2022-09,bug,6,83.33333333333334
2022-09,documentation,3,66.66666666666666
2022-09,other,6,50.0
2022-10,bug,9,88.88888888888889
2022-10,documentation,2,50.0
2022-10,feature,7,57.14285714285714
2022-10,other,23,47.82608695652174
2022-11,bug,9,88.88888888888889
2022-11,documentation,4,50.0
2022-11,feature,2,100.0
2022-11,other,9,55.55555555555556
2022-12,bug,7,71.42857142857143
2022-12,documentation,2,50.0
2022-12,feature,4,75.0
2022-12,other,11,27.27272727272727
2023-01,bug,4,75.0
2023-01,documentation,3,100.0
2023-01,feature,7,71.42857142857143
2023-01,other,9,11.11111111111111
2023-02,bug,10,90.0
2023-02,documentation,1,100.0
2023-02,feature,2,100.0
2023-02,other,10,40.0
2023-03,bug,13,92.3076923076923
2023-03,feature,6,16.666666666666664
2023-03,other,20,65.0
2023-04,bug,12,75.0
2023-04,documentation,1,0.0
2023-04,feature,3,33.33333333333333
2023-04,other,15,13.333333333333334
2023-05,bug,6,66.66666666666666
2023-05,documentation,4,75.0
2023-05,feature,3,33.33333333333333
2023-05,other,6,16.666666666666664
2023-06,bug,11,81.81818181818183
2023-06,documentation,2,100.0
2023-06,feature,2,0.0
2023-06,other,7,71.42857142857143
2023-07,bug,10,80.0
2023-07,documentation,6,50.0
2023-07,feature,1,0.0
2023-07,other,12,41.66666666666667
2023-08,bug,7,85.71428571428571
2023-08,documentation,1,0.0
2023-08,feature,2,50.0
2023-08,other,13,15.384615384615385
2023-09,bug,15,86.66666666666667
2023-09,documentation,1,100.0
2023-09,feature,1,0.0
2023-09,other,8,37.5
2023-10,bug,9,66.66666666666666
2023-10,documentation,2,0.0
2023-10,feature,5,40.0
2023-10,other,19,57.89473684210527
2023-11,bug,8,87.5
2023-11,documentation,3,0.0
2023-11,feature,1,100.0
2023-11,other,13,7.6923076923076925
2023-12,bug,5,80.0
2023-12,documentation,3,66.66666666666666
2023-12,feature,2,0.0
2023-12,other,10,20.0
2024-01,bug,6,83.33333333333334
2024-01,documentation,4,50.0
2024-01,feature,4,50.0
2024-01,other,13,30.76923076923077
2024-02,bug,5,40.0
2024-02,documentation,4,75.0
2024-02,feature,2,50.0
2024-02,other,8,50.0
2024-03,bug,14,64.28571428571429
2024-03,documentation,2,50.0
2024-03,feature,3,100.0
2024-03,other,6,50.0
2024-04,bug,4,0.0
2024-04,documentation,1,0.0
2024-04,feature,2,0.0
2024-04,other,8,25.0
2024-05,bug,7,71.42857142857143
2024-05,documentation,2,50.0
2024-05,feature,4,75.0
2024-05,other,5,20.0
2024-06,bug,6,66.66666666666666
2024-06,documentation,4,25.0
2024-06,feature,3,100.0
2024-06,other,5,40.0
2024-07,bug,3,33.33333333333333
2024-07,documentation,4,75.0
2024-07,feature,1,100.0
2024-07,other,10,30.0
2024-08,bug,5,60.0
2024-08,documentation,4,50.0
2024-08,feature,1,100.0
2024-08,other,9,44.44444444444444
2024-09,bug,5,20.0
2024-09,documentation,2,50.0
2024-09,feature,2,50.0
2024-09,other,8,25.0
2024-10,bug,6,50.0
2024-10,documentation,4,25.0
2024-10,feature,4,50.0
2024-10,other,22,27.27272727272727
2024-11,bug,4,25.0
2024-11,documentation,2,50.0
2024-11,feature,6,83.33333333333334
2024-11,other,6,33.33333333333333
2024-12,bug,6,66.66666666666666
2024-12,documentation,1,0.0
2024-12,feature,2,100.0
2024-12,other,5,60.0
2025-01,bug,5,80.0
2025-01,documentation,5,60.0
2025-01,feature,2,100.0
2025-01,other,4,50.0
2025-02,bug,4,25.0
2025-02,documentation,1,0.0
2025-02,feature,3,66.66666666666666
2025-02,other,10,30.0
2025-03,bug,7,42.857142857142854
2025-03,documentation,6,66.66666666666666
2025-03,feature,4,25.0
2025-03,other,10,40.0
2025-04,bug,6,50.0
2025-04,documentation,7,71.42857142857143
2025-04,feature,3,66.66666666666666
2025-04,other,9,33.33333333333333
2025-05,bug,7,28.57142857142857
2025-05,documentation,1,0.0
2025-05,feature,5,20.0
2025-05,other,18,5.555555555555555
2025-06,bug,3,66.66666666666666
2025-06,documentation,7,14.285714285714285
2025-06,feature,3,0.0
2025-06,other,15,20.0
